Symbol,Market_Cap,EBITDA_Margin,ROA,Debt_Equity,Sector,Sub_Industry
MHK,6440044544,0.13336,0.03829,34.78,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MCO,78224728064,0.45598,0.12368,212.369,Financial Services,Financial Data & Stock Exchanges
MS,177627758592,0.0,,397.03,Financial Services,Capital Markets
MSCI,43189944320,0.57918,0.17492001,,Financial Services,Financial Data & Stock Exchanges
NDAQ,42083360768,0.35365,0.03996,88.598,Financial Services,Financial Data & Stock Exchanges
NKE,80884252672,0.12092,0.08262,85.065,Consumer Cyclical,Footwear & Accessories
NDSN,10419962880,0.29994,0.07441,79.788,Industrials,Specialty Industrial Machinery
NSC,49235955712,0.49922,0.06883,125.905,Industrials,Railroads
NTRS,17405149184,0.0,0.013259999,,Financial Services,Asset Management
NOC,76344664064,0.16667,0.071279995,120.314,Industrials,Aerospace & Defense
NCLH,7225838592,0.25729,0.04642,976.294,Consumer Cyclical,Travel Services
NVR,21433389056,0.20219,0.20628001,25.19,Consumer Cyclical,Residential Construction
ORLY,80018219008,0.22226,0.14129,,Consumer Cyclical,Auto Parts
OXY,37106991104,0.48509,0.04123,78.608,Energy,Oil & Gas E&P
ODFL,32487503872,0.32479,0.17538999,3.965,Industrials,Trucking
OKE,52549447680,0.28556,0.05841,145.904,Energy,Oil & Gas Midstream
OTIS,39090122752,0.17748,0.13706,,Industrials,Specialty Industrial Machinery
PCAR,46624727040,0.15935999,0.07408,91.445,Industrials,Farm & Heavy Construction Machinery
PH,73161695232,0.25033,0.08776,68.875,Industrials,Specialty Industrial Machinery
PAYX,53171396608,0.44632998,0.11643,20.981,Technology,Software - Application
PAYC,12405524480,0.30777,0.064229995,5.292,Technology,Software - Application
PYPL,61333004288,0.19392,0.04299,58.074,Financial Services,Credit Services
PNR,13573731328,0.24804,0.086289994,49.597,Industrials,Specialty Industrial Machinery
PSX,39195439104,0.029070001,0.01731,75.245,Energy,Oil & Gas Refining & Marketing
PNC,61499551744,0.0,0.010620001,,Financial Services,Banks - Regional
POOL,11577977856,0.12461001,0.113520004,99.879,Industrials,Industrial Distribution
PFG,16443202560,0.13493,0.0038800002,40.609,Financial Services,Asset Management
PGR,161859764224,0.14965999,0.07067,27.701,Financial Services,Insurance - Property & Casualty
PLD,91251621888,0.70509005,0.022909999,53.73,Real Estate,REIT - Industrial
PRU,35534852096,0.051030003,0.00275,127.448,Financial Services,Insurance - Life
PSA,50683232256,0.70731,0.06968,95.306,Real Estate,REIT - Industrial
PHM,19112271872,0.22227,0.14573,19.652,Consumer Cyclical,Residential Construction
PWR,40477556736,0.0864,0.04664,61.107,Industrials,Engineering & Construction
RL,12554190848,0.1604,0.07935,105.691,Consumer Cyclical,Apparel Manufacturing
RJF,27908741120,0.0,0.026719999,39.609,Financial Services,Asset Management
RTX,171719278592,0.15890001,0.03258,69.821,Industrials,Aerospace & Defense
O,50839748608,0.90152,0.02299,68.313,Real Estate,REIT - Retail
REG,12849354752,0.62513,0.02859,67.446,Real Estate,REIT - Retail
RF,17597712384,0.0,0.01223,,Financial Services,Banks - Regional
RSG,76554903552,0.30782,0.06331,113.588,Industrials,Waste Management
ROK,26365231104,0.19457,0.07114,113.245,Industrials,Specialty Industrial Machinery
ROL,26858657792,0.22767,0.15195,61.065,Consumer Cyclical,Personal Services
ROST,46375456768,0.14352,0.11066,103.144,Consumer Cyclical,Apparel Retail
RCL,52041469952,0.34686002,0.07129,269.166,Consumer Cyclical,Travel Services
SPGI,144401694720,0.49036,0.059949998,32.105,Financial Services,Financial Data & Stock Exchanges
SBAC,24292255744,0.66971,0.08826999,,Real Estate,REIT - Specialty
SLB,45908869120,0.22745001,0.08217,58.161,Energy,Oil & Gas Equipment & Services
SPG,56309297152,0.74173,0.05797,688.571,Real Estate,REIT - Retail
SNA,17673709568,0.29017,0.11292,23.893,Industrials,Tools & Accessories
LUV,14812720128,0.0608,0.0050700004,77.855,Industrials,Airlines
SWK,9091470336,0.10058,0.0276,75.629,Industrials,Tools & Accessories
SBUX,95088697344,0.17751,0.09776,,Consumer Cyclical,Restaurants
STT,23498524672,0.0,0.00826,,Financial Services,Asset Management
SYF,18465626112,0.0,0.02953,,Financial Services,Credit Services
TROW,19463954432,0.39812002,0.11412,2.95,Financial Services,Asset Management
TPR,13234469888,0.22301,0.07958,307.265,Consumer Cyclical,Luxury Goods
TRGP,36547751936,0.25205,0.07762,323.439,Energy,Oil & Gas Midstream
